image,ground_truth,scut_head_pred,mdnn_pred,predicted,error,absolute_error,squared_error,percentage_error,counting_accuracy,density
bus_2_bus_2_mp4-0009_jpg.rf.5bbd725d6de79aa3956235edb653c678.jpg,5,3.0,33.79,3.0,-2.0,2.0,4.0,40.0,60.0,sparse
bus_3.jpg,4,4.0,70.55,4.0,0.0,0.0,0.0,0.0,100.0,sparse
bus_30.jpg,5,6.0,31.48,6.0,1.0,1.0,1.0,20.0,80.0,sparse
bus_3_bus_3_mp4-0001_jpg.rf.fde57c1ec8198902eb522053b4e1ee9e.jpg,8,6.0,32.28,6.0,-2.0,2.0,4.0,25.0,75.0,sparse
bus_3_bus_3_mp4-0002_jpg.rf.8f34643f445d5bb3c89a1f82e082c74f.jpg,8,8.0,35.59,8.0,0.0,0.0,0.0,0.0,100.0,sparse
bus_3_bus_3_mp4-0003_jpg.rf.61512dff9d5c582976eec9be5ecb7c20.jpg,8,6.0,27.29,6.0,-2.0,2.0,4.0,25.0,75.0,sparse
bus_3_bus_3_mp4-0007_jpg.rf.0db2a5a0300fb40ee76ca0537cccd7c8.jpg,7,3.0,34.42,3.0,-4.0,4.0,16.0,57.14,42.86,sparse
bus_4.jpg,6,6.0,41.92,6.0,0.0,0.0,0.0,0.0,100.0,sparse
bus_4_bus_4_mp4-0001_jpg.rf.fc1e3c0fbad7f019128ccab048a275c6.jpg,10,12.0,31.98,12.0,2.0,2.0,4.0,20.0,80.0,sparse
bus_4_bus_4_mp4-0002_jpg.rf.6fa752956f1441b0694d103118e1d4e3.jpg,10,7.0,35.44,7.0,-3.0,3.0,9.0,30.0,70.0,sparse
bus_4_bus_4_mp4-0003_jpg.rf.4a0a237e55be1283fe484318b2976ccc.jpg,12,7.0,29.12,7.0,-5.0,5.0,25.0,41.67,58.33,sparse
bus_4_bus_4_mp4-0004_jpg.rf.26fa8d691e35618146d207d0429cca1e.jpg,9,9.0,23.58,9.0,0.0,0.0,0.0,0.0,100.0,sparse
bus_4_bus_4_mp4-0005_jpg.rf.cabc5f042da7317adc3b272271c1217a.jpg,11,7.0,29.02,7.0,-4.0,4.0,16.0,36.36,63.64,sparse
bus_4_bus_4_mp4-0006_jpg.rf.3b4965e2596ff042d09854b7ba12821c.jpg,11,9.0,31.25,9.0,-2.0,2.0,4.0,18.18,81.82,sparse
bus_4_bus_4_mp4-0007_jpg.rf.ba7205960c2ae19277b5f04921bf3563.jpg,13,11.0,27.33,11.0,-2.0,2.0,4.0,15.38,84.62,sparse
bus_4_bus_4_mp4-0008_jpg.rf.fa0fac77f26da80db1abcfd83ac4a0b9.jpg,9,7.0,20.93,7.0,-2.0,2.0,4.0,22.22,77.78,sparse
bus_5.jpg,5,5.0,33.07,5.0,0.0,0.0,0.0,0.0,100.0,sparse
bus_5_bus_5_mp4-0001_jpg.rf.c6c0b8f95d6cf5b07556a5ea7d1426e3.jpg,13,9.0,29.82,9.0,-4.0,4.0,16.0,30.77,69.23,sparse
bus_5_bus_5_mp4-0002_jpg.rf.96326d69269b1fb68e8e85572f763b7f.jpg,11,12.0,29.04,12.0,1.0,1.0,1.0,9.09,90.91,sparse
bus_5_bus_5_mp4-0003_jpg.rf.cfcd3c728da6ad6e5b6b5c0f9b24ef1a.jpg,11,11.0,23.89,11.0,0.0,0.0,0.0,0.0,100.0,sparse
bus_5_bus_5_mp4-0004_jpg.rf.8c07b5837fb33fab192ccb28ffbfdadc.jpg,11,13.0,24.83,13.0,2.0,2.0,4.0,18.18,81.82,sparse
bus_5_bus_5_mp4-0005_jpg.rf.cdd34f269b4a9ef9d0e3167e65ef7af2.jpg,11,12.0,27.3,12.0,1.0,1.0,1.0,9.09,90.91,sparse
bus_5_bus_5_mp4-0006_jpg.rf.191afe71d2ebd59a50699bd84e7e98d6.jpg,14,11.0,22.32,11.0,-3.0,3.0,9.0,21.43,78.57,sparse
bus_5_bus_5_mp4-0007_jpg.rf.1322d621a6a7779f616a17d9fbb96826.jpg,13,10.0,21.8,10.0,-3.0,3.0,9.0,23.08,76.92,sparse
bus_5_bus_5_mp4-0008_jpg.rf.5373a5d5ad7891c450a0ec3a45fe5d69.jpg,12,10.0,33.14,10.0,-2.0,2.0,4.0,16.67,83.33,sparse
bus_5_bus_5_mp4-0010_jpg.rf.f9b0734e81383e8ec9e29aed0d417202.jpg,11,8.0,30.28,8.0,-3.0,3.0,9.0,27.27,72.73,sparse
bus_5_bus_5_mp4-0011_jpg.rf.5472fbc5985ad5c17a2ea1fb49ef2c24.jpg,10,7.0,32.06,7.0,-3.0,3.0,9.0,30.0,70.0,sparse
bus_6.jpg,4,4.0,35.6,4.0,0.0,0.0,0.0,0.0,100.0,sparse
bus_6_bus_6_mp4-0002_jpg.rf.46b9db1185965686ec297ac906f2c779.jpg,8,4.0,64.34,4.0,-4.0,4.0,16.0,50.0,50.0,sparse
bus_6_bus_6_mp4-0005_jpg.rf.79c6b3a0718371cc54b74f21e6133732.jpg,9,3.0,54.61,3.0,-6.0,6.0,36.0,66.67,33.33,sparse
bus_7.jpg,8,9.0,11.17,10.09,2.09,2.09,4.37,26.12,73.88,sparse
bus_7_bus_7_mp4-0001_jpg.rf.8193db547a628e08ce9503e12afed4f8.jpg,4,3.0,3.78,3.39,-0.61,0.61,0.37,15.25,84.75,sparse
bus_7_bus_7_mp4-0002_jpg.rf.7c8c880334b9fc0007199dd1ed0e9207.jpg,4,6.0,2.94,6.0,2.0,2.0,4.0,50.0,50.0,sparse
bus_7_bus_7_mp4-0003_jpg.rf.3471ccfc683fc90d412f1de045f79052.jpg,4,4.0,3.27,3.64,-0.36,0.36,0.13,9.0,91.0,sparse
bus_7_bus_7_mp4-0005_jpg.rf.036a6b493cef627ed10d33bce224416f.jpg,6,9.0,4.01,9.0,3.0,3.0,9.0,50.0,50.0,sparse
bus_7_bus_7_mp4-0009_jpg.rf.dccbb7c4b78af5b6a199f3fee0e833d2.jpg,4,4.0,5.08,4.54,0.54,0.54,0.29,13.5,86.5,sparse
bus_8.jpg,6,4.0,34.57,4.0,-2.0,2.0,4.0,33.33,66.67,sparse
bus_8_bus_8_mp4-0001_jpg.rf.ff3d911ddac0ee14064ffa026e7cbddf.jpg,7,7.0,41.22,7.0,0.0,0.0,0.0,0.0,100.0,sparse
bus_8_bus_8_mp4-0002_jpg.rf.2d93c5f6006d60c303c8c269015f5844.jpg,7,8.0,41.7,8.0,1.0,1.0,1.0,14.29,85.71,sparse
bus_8_bus_8_mp4-0003_jpg.rf.12b391fe19dbeda49032448982cfcd0f.jpg,7,6.0,37.47,6.0,-1.0,1.0,1.0,14.29,85.71,sparse
bus_8_bus_8_mp4-0008_jpg.rf.dc1fbff08aadcff236cbc6c6c6b693f1.jpg,5,8.0,37.19,8.0,3.0,3.0,9.0,60.0,40.0,sparse
bus_8_bus_8_mp4-0009_jpg.rf.1633a9e9377c7d1d64fb85cec839ace6.jpg,9,4.0,39.39,4.0,-5.0,5.0,25.0,55.56,44.44,sparse
bus_8_bus_8_mp4-0010_jpg.rf.3ef1b4724ee27c75c4e75f08f2cf4a62.jpg,5,5.0,35.28,5.0,0.0,0.0,0.0,0.0,100.0,sparse
bus_9.jpg,7,5.0,109.93,5.0,-2.0,2.0,4.0,28.57,71.43,sparse
bus_9_bus_9_mp4-0001_jpg.rf.2cbfad0c573f7863b170b9433e05849b.jpg,2,3.0,13.14,3.0,1.0,1.0,1.0,50.0,50.0,sparse
bus_9_bus_9_mp4-0002_jpg.rf.cda41b92b9be0906b76dbb3dbd1558bc.jpg,4,3.0,15.08,3.0,-1.0,1.0,1.0,25.0,75.0,sparse
bus_9_bus_9_mp4-0003_jpg.rf.272b892c804a03f0d7e39db709a7f054.jpg,3,3.0,24.62,3.0,0.0,0.0,0.0,0.0,100.0,sparse
bus_9_bus_9_mp4-0004_jpg.rf.ca8c236abdcd52efaa2bca0467012f99.jpg,3,0.0,15.97,15.97,12.97,12.97,168.22,432.33,0.0,sparse
bus_9_bus_9_mp4-0005_jpg.rf.3ab642f38a9bfd8ef6443da3af1d4086.jpg,3,3.0,9.44,3.0,0.0,0.0,0.0,0.0,100.0,sparse
IMG_1.jpg,23,23.0,18.69,20.85,-2.15,2.15,4.62,9.35,90.65,sparse
IMG_101.jpg,37,34.0,39.79,36.89,-0.11,0.11,0.01,0.3,99.7,dense
IMG_102.jpg,27,26.0,29.69,27.85,0.85,0.85,0.72,3.15,96.85,sparse
IMG_103.jpg,43,42.0,42.59,42.3,-0.7,0.7,0.49,1.63,98.37,dense
IMG_104.jpg,31,33.0,35.07,34.04,3.04,3.04,9.24,9.81,90.19,dense
IMG_110.jpg,31,32.0,53.27,32.0,1.0,1.0,1.0,3.23,96.77,dense
IMG_111.jpg,20,19.0,35.43,19.0,-1.0,1.0,1.0,5.0,95.0,sparse
IMG_113.jpg,48,48.0,62.22,55.11,7.11,7.11,50.55,14.81,85.19,dense
IMG_117.jpg,40,33.0,71.32,33.0,-7.0,7.0,49.0,17.5,82.5,dense
IMG_118.jpg,59,57.0,57.41,57.21,-1.79,1.79,3.2,3.03,96.97,dense
IMG_120.jpg,28,31.0,37.98,34.49,6.49,6.49,42.12,23.18,76.82,dense
IMG_121.jpg,42,28.0,28.94,28.47,-13.53,13.53,183.06,32.21,67.79,sparse
IMG_122.jpg,43,33.0,36.71,34.86,-8.14,8.14,66.26,18.93,81.07,dense
IMG_123.jpg,55,52.0,58.98,55.49,0.49,0.49,0.24,0.89,99.11,dense
IMG_125.jpg,28,29.0,21.68,25.34,-2.66,2.66,7.08,9.5,90.5,sparse
IMG_126.jpg,56,46.0,37.89,41.94,-14.06,14.06,197.68,25.11,74.89,dense
IMG_127.jpg,53,39.0,38.33,38.67,-14.33,14.33,205.35,27.04,72.96,dense
IMG_128.jpg,41,39.0,38.0,38.5,-2.5,2.5,6.25,6.1,93.9,dense
IMG_13.jpg,48,39.0,30.45,34.73,-13.27,13.27,176.09,27.65,72.35,dense
IMG_130.jpg,50,43.0,41.21,42.1,-7.9,7.9,62.41,15.8,84.2,dense
IMG_135.jpg,42,37.0,34.8,35.9,-6.1,6.1,37.21,14.52,85.48,dense
IMG_139.jpg,58,53.0,58.88,55.94,-2.06,2.06,4.24,3.55,96.45,dense
IMG_14.jpg,50,52.0,39.64,45.82,-4.18,4.18,17.47,8.36,91.64,dense
IMG_141.jpg,35,35.0,31.94,33.47,-1.53,1.53,2.34,4.37,95.63,dense
IMG_142.jpg,24,24.0,29.7,26.85,2.85,2.85,8.12,11.88,88.12,sparse
IMG_143.jpg,30,33.0,46.32,39.66,9.66,9.66,93.32,32.2,67.8,dense
IMG_144.jpg,26,25.0,17.61,21.31,-4.69,4.69,22.0,18.04,81.96,sparse
IMG_15.jpg,57,29.0,36.28,32.64,-24.36,24.36,593.41,42.74,57.26,dense
IMG_151.jpg,47,47.0,70.3,58.65,11.65,11.65,135.72,24.79,75.21,dense
IMG_152.jpg,40,34.0,30.57,32.29,-7.71,7.71,59.44,19.28,80.73,dense
IMG_153.jpg,27,25.0,26.37,25.69,-1.31,1.31,1.72,4.85,95.15,sparse
IMG_156.jpg,43,45.0,26.11,35.56,-7.44,7.44,55.35,17.3,82.7,dense
IMG_157.jpg,33,27.0,23.84,25.42,-7.58,7.58,57.46,22.97,77.03,sparse
IMG_158.jpg,12,11.0,14.35,12.68,0.68,0.68,0.46,5.67,94.33,sparse
IMG_16.jpg,42,42.0,38.82,40.41,-1.59,1.59,2.53,3.79,96.21,dense
IMG_161.jpg,49,42.0,32.53,37.26,-11.74,11.74,137.83,23.96,76.04,dense
IMG_162.jpg,54,56.0,48.2,52.1,-1.9,1.9,3.61,3.52,96.48,dense
IMG_165.jpg,27,25.0,51.0,25.0,-2.0,2.0,4.0,7.41,92.59,sparse
IMG_168.jpg,57,45.0,56.66,50.83,-6.17,6.17,38.07,10.82,89.18,dense
IMG_17.jpg,49,43.0,44.01,43.51,-5.49,5.49,30.14,11.2,88.8,dense
IMG_171.jpg,15,17.0,16.39,16.7,1.7,1.7,2.89,11.33,88.67,sparse
IMG_172.jpg,11,10.0,11.31,10.65,-0.35,0.35,0.12,3.18,96.82,sparse
IMG_173.jpg,42,40.0,34.56,37.28,-4.72,4.72,22.28,11.24,88.76,dense
IMG_175.jpg,45,44.0,48.82,46.41,1.41,1.41,1.99,3.13,96.87,dense
IMG_177.jpg,20,23.0,27.54,25.27,5.27,5.27,27.77,26.35,73.65,sparse
IMG_178.jpg,41,42.0,42.06,42.03,1.03,1.03,1.06,2.51,97.49,dense
IMG_179.jpg,45,40.0,54.85,47.42,2.42,2.42,5.86,5.38,94.62,dense
IMG_181.jpg,60,37.0,37.75,37.38,-22.62,22.62,511.66,37.7,62.3,dense
IMG_188.jpg,56,54.0,60.64,57.32,1.32,1.32,1.74,2.36,97.64,dense
IMG_189.jpg,40,40.0,40.28,40.14,0.14,0.14,0.02,0.35,99.65,dense
IMG_19.jpg,43,44.0,41.77,42.88,-0.12,0.12,0.01,0.28,99.72,dense
IMG_192.jpg,58,48.0,51.5,49.75,-8.25,8.25,68.06,14.22,85.78,dense
IMG_195.jpg,29,28.0,38.85,33.42,4.42,4.42,19.54,15.24,84.76,dense
IMG_196.jpg,33,33.0,30.15,31.58,-1.42,1.42,2.02,4.3,95.7,dense
IMG_198.jpg,9,9.0,25.87,9.0,0.0,0.0,0.0,0.0,100.0,sparse
IMG_2.jpg,52,52.0,63.07,57.54,5.54,5.54,30.69,10.65,89.35,dense
IMG_20.jpg,15,14.0,22.59,14.0,-1.0,1.0,1.0,6.67,93.33,sparse
IMG_200.jpg,48,46.0,42.74,44.37,-3.63,3.63,13.18,7.56,92.44,dense
IMG_201.jpg,30,26.0,40.07,26.0,-4.0,4.0,16.0,13.33,86.67,sparse
IMG_205.jpg,57,46.0,26.99,36.5,-20.5,20.5,420.25,35.96,64.04,dense
IMG_206.jpg,46,44.0,48.82,46.41,0.41,0.41,0.17,0.89,99.11,dense
IMG_210.jpg,33,29.0,55.67,29.0,-4.0,4.0,16.0,12.12,87.88,sparse
IMG_211.jpg,33,33.0,38.11,35.56,2.56,2.56,6.55,7.76,92.24,dense
IMG_213.jpg,36,32.0,28.03,30.02,-5.98,5.98,35.76,16.61,83.39,dense
IMG_215.jpg,52,47.0,51.56,49.28,-2.72,2.72,7.4,5.23,94.77,dense
IMG_219.jpg,50,37.0,67.42,37.0,-13.0,13.0,169.0,26.0,74.0,dense
IMG_22.jpg,50,44.0,37.57,40.79,-9.21,9.21,84.82,18.42,81.58,dense
IMG_220.jpg,38,38.0,39.99,38.99,0.99,0.99,0.98,2.61,97.39,dense
IMG_232.jpg,38,34.0,20.17,27.08,-10.92,10.92,119.25,28.74,71.26,sparse
IMG_233.jpg,23,17.0,20.6,18.8,-4.2,4.2,17.64,18.26,81.74,sparse
IMG_234.jpg,54,44.0,61.75,52.87,-1.13,1.13,1.28,2.09,97.91,dense
IMG_235.jpg,28,31.0,60.15,31.0,3.0,3.0,9.0,10.71,89.29,dense
IMG_236.jpg,37,33.0,27.43,30.21,-6.79,6.79,46.1,18.35,81.65,dense
IMG_238.jpg,20,18.0,29.81,18.0,-2.0,2.0,4.0,10.0,90.0,sparse
IMG_242.jpg,49,47.0,41.38,44.19,-4.81,4.81,23.14,9.82,90.18,dense
IMG_244.jpg,25,24.0,22.99,23.5,-1.5,1.5,2.25,6.0,94.0,sparse
IMG_248.jpg,53,46.0,57.03,51.51,-1.49,1.49,2.22,2.81,97.19,dense
IMG_249.jpg,60,52.0,63.13,57.57,-2.43,2.43,5.9,4.05,95.95,dense
IMG_250.jpg,24,25.0,41.56,25.0,1.0,1.0,1.0,4.17,95.83,sparse
IMG_252.jpg,31,26.0,38.11,32.05,1.05,1.05,1.1,3.39,96.61,dense
IMG_253.jpg,45,50.0,77.18,50.0,5.0,5.0,25.0,11.11,88.89,dense
IMG_255.jpg,12,8.0,12.51,8.0,-4.0,4.0,16.0,33.33,66.67,sparse
IMG_256.jpg,39,26.0,58.81,26.0,-13.0,13.0,169.0,33.33,66.67,sparse
IMG_258.jpg,55,45.0,65.82,55.41,0.41,0.41,0.17,0.75,99.25,dense
IMG_26.jpg,38,33.0,40.52,36.76,-1.24,1.24,1.54,3.26,96.74,dense
IMG_260.jpg,53,45.0,34.32,39.66,-13.34,13.34,177.96,25.17,74.83,dense
IMG_261.jpg,35,33.0,46.1,39.55,4.55,4.55,20.7,13.0,87.0,dense
IMG_262.jpg,47,46.0,47.95,46.97,-0.03,0.03,0.0,0.06,99.94,dense
IMG_264.jpg,29,19.0,42.86,19.0,-10.0,10.0,100.0,34.48,65.52,sparse
IMG_265.jpg,32,30.0,29.69,29.84,-2.16,2.16,4.67,6.75,93.25,sparse
IMG_266.jpg,59,59.0,65.19,62.1,3.1,3.1,9.61,5.25,94.75,dense
IMG_268.jpg,34,33.0,44.06,38.53,4.53,4.53,20.52,13.32,86.68,dense
IMG_270.jpg,55,53.0,50.3,51.65,-3.35,3.35,11.22,6.09,93.91,dense
IMG_271.jpg,54,45.0,79.23,45.0,-9.0,9.0,81.0,16.67,83.33,dense
IMG_272.jpg,49,51.0,36.14,43.57,-5.43,5.43,29.48,11.08,88.92,dense
IMG_276.jpg,26,24.0,39.97,24.0,-2.0,2.0,4.0,7.69,92.31,sparse
IMG_277.jpg,26,23.0,44.41,23.0,-3.0,3.0,9.0,11.54,88.46,sparse
IMG_278.jpg,30,33.0,28.98,30.99,0.99,0.99,0.98,3.3,96.7,dense
IMG_282.jpg,24,22.0,24.02,23.01,-0.99,0.99,0.98,4.12,95.88,sparse
IMG_284.jpg,38,26.0,19.97,22.98,-15.02,15.02,225.6,39.53,60.47,sparse
IMG_285.jpg,26,21.0,31.13,26.07,0.07,0.07,0.0,0.27,99.73,sparse
IMG_288.jpg,16,18.0,25.4,21.7,5.7,5.7,32.49,35.62,64.38,sparse
IMG_289.jpg,45,37.0,44.55,40.77,-4.23,4.23,17.89,9.4,90.6,dense
IMG_292.jpg,33,35.0,48.53,41.76,8.76,8.76,76.74,26.55,73.45,dense
IMG_293.jpg,23,18.0,16.18,17.09,-5.91,5.91,34.93,25.7,74.3,sparse
IMG_294.jpg,47,42.0,40.54,41.27,-5.73,5.73,32.83,12.19,87.81,dense
IMG_296.jpg,28,24.0,50.69,24.0,-4.0,4.0,16.0,14.29,85.71,sparse
IMG_298.jpg,47,31.0,51.42,31.0,-16.0,16.0,256.0,34.04,65.96,dense
IMG_299.jpg,59,57.0,48.08,52.54,-6.46,6.46,41.73,10.95,89.05,dense
IMG_3.jpg,29,26.0,20.27,23.14,-5.86,5.86,34.34,20.21,79.79,sparse
IMG_30.jpg,51,41.0,38.36,39.68,-11.32,11.32,128.14,22.2,77.8,dense
IMG_301.jpg,33,34.0,59.19,34.0,1.0,1.0,1.0,3.03,96.97,dense
IMG_308.jpg,47,46.0,50.24,48.12,1.12,1.12,1.25,2.38,97.62,dense
IMG_309.jpg,54,55.0,83.74,55.0,1.0,1.0,1.0,1.85,98.15,dense
IMG_310.jpg,58,59.0,56.09,57.54,-0.46,0.46,0.21,0.79,99.21,dense
IMG_311.jpg,60,48.0,41.8,44.9,-15.1,15.1,228.01,25.17,74.83,dense
IMG_312.jpg,51,47.0,41.53,44.27,-6.73,6.73,45.29,13.2,86.8,dense
IMG_313.jpg,41,43.0,55.1,49.05,8.05,8.05,64.8,19.63,80.37,dense
IMG_314.jpg,26,25.0,25.18,25.09,-0.91,0.91,0.83,3.5,96.5,sparse
IMG_315.jpg,54,41.0,61.1,51.05,-2.95,2.95,8.7,5.46,94.54,dense
IMG_316.jpg,35,36.0,40.55,38.28,3.28,3.28,10.76,9.37,90.63,dense
IMG_319.jpg,55,53.0,52.49,52.75,-2.25,2.25,5.06,4.09,95.91,dense
IMG_32.jpg,56,51.0,45.71,48.36,-7.64,7.64,58.37,13.64,86.36,dense
IMG_322.jpg,55,46.0,57.36,51.68,-3.32,3.32,11.02,6.04,93.96,dense
IMG_323.jpg,54,50.0,76.45,50.0,-4.0,4.0,16.0,7.41,92.59,dense
IMG_325.jpg,55,55.0,49.95,52.47,-2.53,2.53,6.4,4.6,95.4,dense
IMG_326.jpg,35,34.0,50.73,42.36,7.36,7.36,54.17,21.03,78.97,dense
IMG_328.jpg,27,19.0,19.18,19.09,-7.91,7.91,62.57,29.3,70.7,sparse
IMG_332.jpg,15,17.0,17.08,17.04,2.04,2.04,4.16,13.6,86.4,sparse
IMG_333.jpg,33,29.0,21.77,25.38,-7.62,7.62,58.06,23.09,76.91,sparse
IMG_335.jpg,23,23.0,28.27,25.64,2.64,2.64,6.97,11.48,88.52,sparse
IMG_339.jpg,35,31.0,36.02,33.51,-1.49,1.49,2.22,4.26,95.74,dense
IMG_34.jpg,41,39.0,70.62,39.0,-2.0,2.0,4.0,4.88,95.12,dense
IMG_347.jpg,32,31.0,25.52,28.26,-3.74,3.74,13.99,11.69,88.31,sparse
IMG_35.jpg,21,22.0,67.99,22.0,1.0,1.0,1.0,4.76,95.24,sparse
IMG_350.jpg,28,28.0,31.76,29.88,1.88,1.88,3.53,6.71,93.29,sparse
IMG_355.jpg,19,18.0,18.89,18.45,-0.55,0.55,0.3,2.89,97.11,sparse
IMG_359.jpg,49,50.0,53.5,51.75,2.75,2.75,7.56,5.61,94.39,dense
